Question,Answer
What is the building and room number of the course 94808 Management Consulting?,HBH 1005
How many units is the course 94808 Management Consulting?,12.0
Who are the instructors of the course 94808 Management Consulting?,Brussalis
What is the course number of Applications of NL(X) and LLM?,94812
What is the name of course number 94812?,Applications of NL(X) and LLM
What time does the course 94812 Applications of NL(X) and LLM begin?,03:30PM
What time does the course 94812 Applications of NL(X) and LLM end?,04:50PM
What days does the course 94812 Applications of NL(X) and LLM meet?,"Tuesday, ThursdayFriday"
What is the location of the course 94812 Applications of NL(X) and LLM?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94812 Applications of NL(X) and LLM?,HBH 1007
How many units is the course 94812 Applications of NL(X) and LLM?,6.0
Who are the instructors of the course 94812 Applications of NL(X) and LLM?,Rao
What is the course number of Agent-Based Modeling & Digital Twins?,94815
What is the name of course number 94815?,Agent-Based Modeling & Digital Twins
What time does the course 94815 Agent-Based Modeling & Digital Twins begin?,03:30PM
What time does the course 94815 Agent-Based Modeling & Digital Twins end?,04:50PM
What days does the course 94815 Agent-Based Modeling & Digital Twins meet?,"Tuesday, Thursday"
What is the location of the course 94815 Agent-Based Modeling & Digital Twins?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94815 Agent-Based Modeling & Digital Twins?,HBH 1006
How many units is the course 94815 Agent-Based Modeling & Digital Twins?,6.0
Who are the instructors of the course 94815 Agent-Based Modeling & Digital Twins?,Rao
What is the course number of Financial Investing?,94818
What is the name of course number 94818?,Financial Investing
What time does the course 94818 Financial Investing begin?,02:00PM
What time does the course 94818 Financial Investing end?,03:20PM
What days does the course 94818 Financial Investing meet?,"Monday, Wednesday, "
What is the location of the course 94818 Financial Investing?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94818 Financial Investing?,HBH 1007
How many units is the course 94818 Financial Investing?,6.0
Who are the instructors of the course 94818 Financial Investing?,Gogolak
What is the course number of Measuring Social?,94823
What is the name of course number 94823?,Measuring Social
What time does the course 94823 Measuring Social begin?,06:30PM
What time does the course 94823 Measuring Social end?,09:20PM
What days does the course 94823 Measuring Social meet?,"Wednesday, "
What is the location of the course 94823 Measuring Social?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94823 Measuring Social?,HBH 1206
How many units is the course 94823 Measuring Social?,12.0
Who are the instructors of the course 94823 Measuring Social?,Lightman
What is the course number of SAS for Public Policy?,94827
What is the name of course number 94827?,SAS for Public Policy
What time does the course 94827 SAS for Public Policy begin?,05:00PM
What time does the course 94827 SAS for Public Policy end?,06:20PM
What days does the course 94827 SAS for Public Policy meet?,"Tuesday, Thursday"
What is the location of the course 94827 SAS for Public Policy?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94827 SAS for Public Policy?,HBH 2009
How many units is the course 94827 SAS for Public Policy?,6.0
Who are the instructors of the course 94827 SAS for Public Policy?,Hunter
What is the course number of Advanced AI and Business Strategy?,94829
What is the name of course number 94829?,Advanced AI and Business Strategy
What time does the course 94829 Advanced AI and Business Strategy begin?,09:30AM
What time does the course 94829 Advanced AI and Business Strategy end?,10:50AM
What days does the course 94829 Advanced AI and Business Strategy meet?,"Monday, Wednesday, "
What is the location of the course 94829 Advanced AI and Business Strategy?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94829 Advanced AI and Business Strategy?,WEH 5421
How many units is the course 94829 Advanced AI and Business Strategy?,12.0
Who are the instructors of the course 94829 Advanced AI and Business Strategy?,Moya
What is the course number of Applied Econometrics II?,94835
What is the name of course number 94835?,Applied Econometrics II
What time does the course 94835 Applied Econometrics II begin?,03:30PM
What time does the course 94835 Applied Econometrics II end?,04:50PM
What days does the course 94835 Applied Econometrics II meet?,"Monday, Wednesday, "
What is the location of the course 94835 Applied Econometrics II?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94835 Applied Econometrics II?,HBH 1204
How many units is the course 94835 Applied Econometrics II?,6.0
Who are the instructors of the course 94835 Applied Econometrics II?,Jha
What is the course number of Programming R for Analytics?,94842
What is the name of course number 94842?,Programming R for Analytics
What time does the course 94842 Programming R for Analytics begin?,06:30PM
What time does the course 94842 Programming R for Analytics end?,09:20PM
What days does the course 94842 Programming R for Analytics meet?,"Tuesday, "
What is the location of the course 94842 Programming R for Analytics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94842 Programming R for Analytics?,HBH 1006
How many units is the course 94842 Programming R for Analytics?,6.0
Who are the instructors of the course 94842 Programming R for Analytics?,Simko
What is the course number of Generative AI Lab?,94844
What is the name of course number 94844?,Generative AI Lab
What time does the course 94844 Generative AI Lab begin?,09:30AM
What time does the course 94844 Generative AI Lab end?,10:50AM
What days does the course 94844 Generative AI Lab meet?,"Tuesday, Thursday"
What is the location of the course 94844 Generative AI Lab?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94844 Generative AI Lab?,HBH 1202
How many units is the course 94844 Generative AI Lab?,6.0
Who are the instructors of the course 94844 Generative AI Lab?,Li
What is the course number of Innovation Management in Practice?,94855
What is the name of course number 94855?,Innovation Management in Practice
What time does the course 94855 Innovation Management in Practice begin?,08:00AM
What time does the course 94855 Innovation Management in Practice end?,09:20AM
What days does the course 94855 Innovation Management in Practice meet?,"Monday, "
What is the location of the course 94855 Innovation Management in Practice?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94855 Innovation Management in Practice?,POS 153
How many units is the course 94855 Innovation Management in Practice?,6.0
Who are the instructors of the course 94855 Innovation Management in Practice?,Yu
What is the course number of Data Analytics for Decision Making?,94865
What is the name of course number 94865?,Data Analytics for Decision Making
What time does the course 94865 Data Analytics for Decision Making begin?,09:30AM
What time does the course 94865 Data Analytics for Decision Making end?,10:50AM
What days does the course 94865 Data Analytics for Decision Making meet?,"Monday, Wednesday, Friday"
What is the location of the course 94865 Data Analytics for Decision Making?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94865 Data Analytics for Decision Making?,HBH 1002
How many units is the course 94865 Data Analytics for Decision Making?,6.0
Who are the instructors of the course 94865 Data Analytics for Decision Making?,Escallon Barrios
What is the course number of Conflict Resolution?,94869
What is the name of course number 94869?,Conflict Resolution
What time does the course 94869 Conflict Resolution begin?,09:30AM
